Total Subroutine call(s) for PE#0= 76 in Quad #0.
Total call to ??no_name??() subroutine at address 0x90007b0c is 1 time(s)
				 Cumulative cycles 625494253.
				 Exclusive cycles 1721
Total call to __main() subroutine at address 0x90000a50 is 1 time(s)
				 Cumulative cycles 186792.
				 Exclusive cycles 1090
Total call to __initrtl() subroutine at address 0x90001092 is 1 time(s)
				 Cumulative cycles 61267.
				 Exclusive cycles 1771
Total call to _semaphore_global_lock() subroutine at address 0x900054f6 is 2 time(s)
				 Cumulative cycles 12476.
				 Exclusive cycles 2248
Total call to read_control_word() subroutine at address 0x900055a2 is 30 time(s)
				 Cumulative cycles 28400.
				 Exclusive cycles 28400
Total call to SemaphoreLock() subroutine at address 0x90005492 is 2 time(s)
				 Cumulative cycles 7988.
				 Exclusive cycles 7988
Total call to _init_heap() subroutine at address 0x90000ec0 is 1 time(s)
				 Cumulative cycles 1366.
				 Exclusive cycles 1366
Total call to _init_cache() subroutine at address 0x90000f00 is 1 time(s)
				 Cumulative cycles 50815.
				 Exclusive cycles 5534
Total call to _write_control_word() subroutine at address 0x9000555a is 10 time(s)
				 Cumulative cycles 14820.
				 Exclusive cycles 3010
Total call to write_control_word() subroutine at address 0x9000556a is 10 time(s)
				 Cumulative cycles 11810.
				 Exclusive cycles 11810
Total call to _get_chip_type() subroutine at address 0x90004eea is 6 time(s)
				 Cumulative cycles 22670.
				 Exclusive cycles 2930
Total call to get_chip_type() subroutine at address 0x90004ef8 is 6 time(s)
				 Cumulative cycles 19740.
				 Exclusive cycles 7246
Total call to get_base_address() subroutine at address 0x900055da is 15 time(s)
				 Cumulative cycles 31135.
				 Exclusive cycles 17335
Total call to _quad_get_num_r_quads() subroutine at address 0x90004f24 is 2 time(s)
				 Cumulative cycles 7791.
				 Exclusive cycles 1110
Total call to quad_get_num_r_quads() subroutine at address 0x90004f32 is 4 time(s)
				 Cumulative cycles 9427.
				 Exclusive cycles 7378
Total call to _semaphore_global_unlock() subroutine at address 0x90005528 is 2 time(s)
				 Cumulative cycles 5188.
				 Exclusive cycles 1848
Total call to SemaphoreUnLock() subroutine at address 0x900054e8 is 3 time(s)
				 Cumulative cycles 1550.
				 Exclusive cycles 1550
Total call to __insp_initialize() subroutine at address 0x90004d1c is 1 time(s)
				 Cumulative cycles 124435.
				 Exclusive cycles 6406
Total call to _semaphore_global_alloc() subroutine at address 0x9000539c is 3 time(s)
				 Cumulative cycles 26804.
				 Exclusive cycles 3707
Total call to GlobalSemaphoreAlloc() subroutine at address 0x900052a4 is 4 time(s)
