InstAddress		Total_Execution	Total_Cycles	Instruction
90000a50		1                   	203                 	MOV   R29, R0
90000a52		1                   	4                   	ADD   R31, R0, 0x00000004
90000a58		1                   	3                   	MOV   R29, R1
90000a5a		1                   	4                   	ADD   R31, R1, 0x00000804
90000a60		1                   	209                 	ST    R0++, R16
90000a62		1                   	12                  	JSR   R31, JMP, 0x00000642
90000a68		1                   	411                 	LD    --R0, R16
90000a6a		1                   	9                   	ST    R0++, R16
90000a6c		1                   	13                  	JSR   R31, JMP, 0x000042cc
90000a72		1                   	211                 	LD    --R0, R16
90000a74		1                   	11                  	JMP   R16, JMP
90000a8a		11696               	35288               	MOVC  0, R23
90000a8c		11696               	128656              	CSNE  R23, R3
90000a90		11696               	35088               	MOV   R3, R23
90000a92		11696               	46784               	ADD   R31, R23, 0x01000000
90000a98		11696               	46784               	XOR   R31, R23, 0x7fffffff
90000a9e		11696               	58680               	MOV   R31, R8, 0x40000000
90000aa4		11696               	35088               	MOV   R3, R6
90000aa6		11696               	116960              	FMUL  R23, R6
90000aa8		11696               	35088               	MOV   R8, R7
90000aaa		11696               	93568               	FSUB  R6, R7
90000aac		11696               	116960              	FMUL  R7, R23
90000aae		11696               	35088               	MOV   R3, R6
90000ab0		11696               	116960              	FMUL  R23, R6
90000ab2		11696               	35088               	MOV   R8, R7
90000ab4		11696               	93568               	FSUB  R6, R7
90000ab6		11696               	116960              	FMUL  R7, R23
90000ab8		11696               	35088               	MOV   R3, R6
90000aba		11696               	116960              	FMUL  R23, R6
90000abc		11696               	35088               	MOV   R8, R7
90000abe		11696               	93568               	FSUB  R6, R7
90000ac0		11696               	116960              	FMUL  R7, R23
90000ac2		11696               	116960              	FMUL  R2, R23
90000ac4		11696               	35088               	ADDC  1, R23
90000ac6		11696               	128656              	JMP   R16, JMP
90000ac8		11696               	105464              	ST    R0++, R16
90000aca		11696               	105264              	ST    R0++, R17
90000acc		11696               	105264              	ST    R0++, R2
90000ace		11696               	105264              	ST    R0++, R3
90000ad0		11696               	105264              	ST    R0++, R6
90000ad2		11696               	105264              	ST    R0++, R7
90000ad4		11696               	105264              	ST    R0++, R8
90000ad6		11696               	35088               	MOV   R8, R2
90000ad8		11696               	35088               	MOV   R9, R3
90000ada		11696               	140352              	JSR   R31, JMP, 0x0000003a
90000ae0		11696               	2468056             	LD    --R0, R8
90000ae2		11696               	2467856             	LD    --R0, R7
90000ae4		11696               	2467856             	LD    --R0, R6
90000ae6		11696               	2467856             	LD    --R0, R3
90000ae8		11696               	2467856             	LD    --R0, R2
90000aea		11696               	2467856             	LD    --R0, R17
90000aec		11696               	2467856             	LD    --R0, R16
90000aee		11696               	128656              	JMP   R16, JMP
90000c58		68                  	472                 	COMP  R30, R2, 0x1f
90000c5c		68                  	340                 	JMP   R31, JG, 0x000002a4
90000c62		68                  	404                 	MOV   R19, R10
90000c64		68                  	340                 	ADD   R31, R10, 0x00000000
90000c6a		68                  	204                 	MOV   R2, R11
90000c6c		68                  	340                 	SLL   2, R11
90000c6e		68                  	204                 	ADD   R11, R10
90000c70		68                  	14280               	LD    R10, R11
90000c72		68                  	748                 	JMP   R11, JMP
90000c94		46                  	338                 	MOV   R8, R23
90000c96		46                  	506                 	JMP   R16, JMP
90000cbc		3                   	209                 	MOV   R18, R23
90000cbe		3                   	33                  	JMP   R16, JMP
90000cd4		16                  	248                 	MOV   R24, R23
90000cd6		16                  	176                 	JMP   R16, JMP
90000ce8		3                   	9                   	MOV   R29, R23
90000cea		3                   	33                  	JMP   R16, JMP
90000cfc		16                  	248                 	MOV   R3, R23
90000cfe		16                  	264                 	COMP  R30, R2, 0x1f
90000d02		16                  	64                  	JMP   R31, JG, 0x0000034a
90000d08		16                  	48                  	MOV   R19, R10
90000d0a		16                  	64                  	ADD   R31, R10, 0x00000080
90000d10		16                  	48                  	MOV   R2, R11
90000d12		16                  	80                  	SLL   2, R11
90000d14		16                  	48                  	ADD   R11, R10
90000d16		16                  	3360                	LD    R10, R11
90000d18		16                  	176                 	JMP   R11, JMP
90000d3a		16                  	248                 	MOV   R3, R8
90000d3c		16                  	176                 	JMP   R16, JMP
90000d9c		18                  	272                 	COMP  R30, R2, 0x1f
90000da0		18                  	272                 	JMP   R31, JG, 0x000003e8
90000da6		18                  	54                  	MOV   R19, R10
90000da8		18                  	72                  	ADD   R31, R10, 0x00000100
90000dae		18                  	54                  	MOV   R2, R11
90000db0		18                  	90                  	SLL   2, R11
90000db2		18                  	54                  	ADD   R11, R10
90000db4		18                  	3780                	LD    R10, R11
90000db6		18                  	198                 	JMP   R11, JMP
90000dc4		18                  	254                 	MSG   S3, R23
90000dc6		18                  	198                 	JMP   R16, JMP
90000ec0		1                   	209                 	ST    R0++, R16
90000ec2		1                   	9                   	ST    R0++, R17
90000ec4		1                   	3                   	MOV   R1, R17
90000ec6		1                   	3                   	ADDC  8, R1
90000ec8		1                   	9                   	ST    R0++, R22
90000eca		1                   	3                   	MOV   R3, R11
90000ecc		1                   	5                   	SRL   3, R11
90000ece		1                   	4                   	ADDX  R11, R11, 0xffff
90000ed2		1                   	9                   	STX   R1, R11, 0xfffc
90000ed6		1                   	3                   	MOV   R2, R22
90000ed8		1                   	4                   	ADDX  R22, R11, 0x8
90000edc		1                   	8                   	ST    R22, R11
90000ede		1                   	204                 	ADDX  R22, R11, 0x4
90000ee2		1                   	3                   	MOVC  0, R10
90000ee4		1                   	8                   	ST    R11, R10
90000ee6		1                   	4                   	ADDX  R22, R11, 0x8
90000eea		1                   	8                   	ST    R11, R22
90000eec		1                   	4                   	ADDX  R22, R11, 0xc
90000ef0		1                   	211                 	LDX   R1, R10, 0xfffc
90000ef4		1                   	8                   	ST    R11, R10
90000ef6		1                   	211                 	LD    --R0, R22
90000ef8		1                   	3                   	MOV   R17, R1
90000efa		1                   	211                 	LD    --R0, R17
90000efc		1                   	211                 	LD    --R0, R16
90000efe		1                   	11                  	JMP   R16, JMP
